clientid,EventProcessedUtcTime,contouren,afwijking,voorgrond,beweging,helderheid,richting,leftoutcounter,rightoutcounter,objecten,leftcounter,rightcounter,upcounter,downcounter,undeterminedcounter
CAM10,2018-03-31T02:14:13.5443126Z,99,63,9,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM02,2018-03-31T02:13:54.2429126Z,8,178,99,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:14:14.1044308Z,130,250,59,47,29,UNDETERMINED,1,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:14:16.4169202Z,114,239,63,76,16,UNDETERMINED,1,0, 0,0,0,0,0,0
CAM10,2018-03-31T02:14:16.4325484Z,113,74,8,2,0,UNDETERMINED,0,0, 1,0,0,0,0,1
CAM02,2018-03-31T02:13:54.2429126Z,9,173,99,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:14:13.5106661Z,103,227,68,56,9,UNDETERMINED,1,0, 2,0,0,0,0,2
CAM02,2018-03-31T02:14:16.3856708Z,9,176,99,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM10,2018-03-31T02:14:14.0887889Z,85,65,8,0,0,UNDETERMINED,0,0, 1,0,0,0,0,1
CAM02,2018-03-31T02:14:13.5443126Z,11,200,97,0,1,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM10,2018-03-31T02:14:13.5443126Z,128,86,8,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:13:54.2429126Z,95,229,68,2,7,UNDETERMINED,1,0, 2,0,0,0,0,2
CAM10,2018-03-31T02:14:14.1044308Z,111,76,8,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:14:16.4169202Z,78,171,76,2,1,UNDETERMINED,1,0, 0,0,0,0,0,0
CAM02,2018-03-31T02:14:16.4325484Z,7,165,100,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM02,2018-03-31T02:13:54.2429126Z,9,165,100,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM10,2018-03-31T02:14:13.5106661Z,133,85,8,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:14:16.3856708Z,131,249,57,10,23,UNDETERMINED,1,0, 2,0,0,0,0,2
CAM02,2018-03-31T02:14:14.0887889Z,9,167,99,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM10,2018-03-31T02:14:13.5443126Z,101,69,8,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:14:13.5443126Z,160,265,55,22,23,UNDETERMINED,1,0, 3,0,0,0,0,3
CAM02,2018-03-31T02:13:54.2429126Z,6,157,100,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:14:14.1044308Z,104,244,67,71,7,UNDETERMINED,1,0, 2,0,0,0,0,2
CAM10,2018-03-31T02:14:16.4169202Z,109,71,8,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM02,2018-03-31T02:14:16.4325484Z,7,168,100,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM10,2018-03-31T02:13:54.2429126Z,92,65,9,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:14:13.5106661Z,116,252,68,18,7,UNDETERMINED,1,0, 2,0,0,0,0,2
CAM10,2018-03-31T02:14:16.3856708Z,117,81,8,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:14:14.0887889Z,107,197,76,97,3,heading: v,1,0, 2,0,0,0,1,1
CAM02,2018-03-31T02:14:13.5443126Z,6,163,100,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM02,2018-03-31T02:14:13.5443126Z,9,172,99,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:13:54.2429126Z,207,292,55,21,29,UNDETERMINED,1,0, 3,0,0,0,0,3
CAM10,2018-03-31T02:14:14.1044308Z,117,73,8,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM10,2018-03-31T02:14:16.4169202Z,105,85,8,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM02,2018-03-31T02:14:16.4325484Z,10,170,100,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:13:54.2429126Z,183,299,60,24,11,heading: v,1,0, 4,0,0,0,1,3
CAM10,2018-03-31T02:14:16.3856708Z,122,78,8,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:14:14.0887889Z,121,240,68,18,4,heading: v,1,0, 4,0,0,0,2,2
CAM02,2018-03-31T02:14:13.5443126Z,11,175,99,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM02,2018-03-31T02:13:54.7585403Z,11,171,100,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM10,2018-03-31T02:14:14.6825377Z,109,77,8,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM10,2018-03-31T02:13:54.7585403Z,102,65,9,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM02,2018-03-31T02:14:14.0887889Z,10,167,100,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:14:16.9481772Z,188,291,56,21,21,UNDETERMINED,1,0, 2,0,0,0,0,2
CAM07,2018-03-31T02:14:14.6669250Z,32,115,14,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:14:14.0887889Z,141,272,60,7,17,UNDETERMINED,1,0, 2,0,0,0,0,2
CAM02,2018-03-31T02:14:14.0887889Z,8,175,100,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM07,2018-03-31T02:13:54.7585403Z,36,129,17,4,2,UNDETERMINED,0,0, 1,0,0,0,0,1
CAM10,2018-03-31T02:14:14.6825377Z,136,97,8,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:13:54.7585403Z,132,267,65,66,2,UNDETERMINED,1,0, 1,0,0,0,0,1
CAM07,2018-03-31T02:14:14.0887889Z,46,250,15,0,3,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM02,2018-03-31T02:14:16.9481772Z,13,165,100,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM07,2018-03-31T02:14:14.6669250Z,55,269,15,0,3,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM10,2018-03-31T02:14:14.0887889Z,132,85,8,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:14:14.0887889Z,145,238,65,70,2,heading: v,1,0, 2,0,0,0,1,1
CAM02,2018-03-31T02:13:54.7585403Z,7,168,100,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:14:14.6825377Z,138,269,63,89,1,heading: v,1,0, 2,0,0,0,1,1
CAM10,2018-03-31T02:13:54.7585403Z,135,98,8,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM02,2018-03-31T02:14:14.0887889Z,13,178,100,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM07,2018-03-31T02:14:16.9481772Z,50,237,15,0,3,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:14:14.6669250Z,146,293,63,10,8,UNDETERMINED,1,0, 1,0,0,0,0,1
CAM02,2018-03-31T02:14:14.0887889Z,9,171,100,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM10,2018-03-31T02:14:14.0887889Z,129,91,8,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM07,2018-03-31T02:13:54.7585403Z,47,267,15,0,3,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:14:14.6825377Z,132,271,59,25,10,UNDETERMINED,1,0, 2,0,0,0,0,2
CAM??,2018-03-31T02:13:54.7585403Z,88,193,76,36,2,UNDETERMINED,1,0, 2,0,0,0,0,2
CAM07,2018-03-31T02:14:14.0887889Z,55,291,15,0,3,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM02,2018-03-31T02:14:16.9481772Z,9,173,100,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM10,2018-03-31T02:14:14.6669250Z,134,94,8,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:14:14.0887889Z,76,184,80,95,0,UNDETERMINED,1,0, 4,0,0,0,0,4
CAM07,2018-03-31T02:14:14.0887889Z,59,304,14,0,3,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM02,2018-03-31T02:13:54.7585403Z,8,172,100,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM10,2018-03-31T02:14:14.6825377Z,127,88,8,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM07,2018-03-31T02:13:54.7585403Z,54,309,15,0,3,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM02,2018-03-31T02:14:14.0887889Z,13,177,100,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
